연도,분기,행정동_코드,행정동_코드_명,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수
2022,4,11470650,신정4동,161,3.0,8.0,1.0,1.0,16.0,3.0,2.0,,2.0,,,,,,,,,1.0,18.0
2022,4,11470670,신정6동,72,7.0,6.0,,,2.0,2.0,,1.0,1.0,,,,,,,,,,31.0
2022,4,11470680,신정7동,107,3.0,2.0,,,8.0,3.0,3.0,1.0,1.0,,,,,,,,,1.0,30.0
2022,4,11500510,염창동,147,5.0,3.0,,1.0,15.0,,2.0,2.0,,,,,,,,,,2.0,35.0
2022,4,11500520,등촌1동,95,1.0,5.0,,1.0,10.0,,1.0,,,,,,1.0,,,,,,20.0
2022,4,11500530,등촌2동,58,3.0,,,1.0,6.0,2.0,2.0,2.0,2.0,,,,,,,,,,8.0
2022,4,11500535,등촌3동,184,6.0,3.0,1.0,2.0,18.0,2.0,5.0,2.0,4.0,,,,1.0,,,,,,55.0
2022,4,11500540,화곡1동,226,3.0,2.0,,2.0,26.0,,2.0,1.0,,,,,1.0,,,,,2.0,27.0
2022,4,11500550,화곡2동,65,2.0,,,,3.0,2.0,1.0,,,,,,,,,,,,30.0
2022,4,11500560,화곡3동,87,4.0,3.0,,,8.0,2.0,,,,,,,,,,,,,12.0
2022,4,11500570,화곡4동,101,4.0,2.0,,,14.0,3.0,1.0,,2.0,,,,,,,,,,30.0
2022,4,11500590,화곡본동,145,3.0,,,1.0,11.0,1.0,2.0,,,,,,,,,,,,31.0
2022,4,11500591,화곡6동,118,7.0,5.0,,,8.0,2.0,1.0,,,9.0,,,,,,,,,29.0
2022,4,11500593,화곡8동,95,2.0,3.0,,,8.0,1.0,,,,,,,,,,,,1.0,33.0
2022,4,11500603,가양1동,279,5.0,13.0,,,20.0,3.0,1.0,1.0,1.0,,,,1.0,2.0,,,,5.0,69.0
2022,4,11500604,가양2동,75,4.0,3.0,,,7.0,3.0,1.0,1.0,1.0,,,,,,,,,1.0,14.0
2022,4,11500605,가양3동,52,3.0,,,,4.0,3.0,2.0,1.0,1.0,,,,,,,,,1.0,13.0
2022,4,11500611,발산1동,246,3.0,9.0,1.0,2.0,33.0,2.0,3.0,4.0,8.0,,,1.0,,,,,,,63.0
2022,4,11500615,우장산동,158,4.0,4.0,,3.0,12.0,3.0,2.0,,,5.0,,,,,,,,1.0,33.0
2022,4,11500620,공항동,176,6.0,7.0,1.0,,11.0,1.0,2.0,2.0,,4.0,,,,,21.0,,,2.0,39.0
2022,4,11500630,방화1동,200,2.0,3.0,,2.0,21.0,4.0,3.0,1.0,3.0,,,,,1.0,,,,1.0,46.0
2022,4,11500640,방화2동,124,4.0,,,,7.0,3.0,1.0,1.0,,,,2.0,1.0,,4.0,,,5.0,37.0
2022,4,11500641,방화3동,83,5.0,1.0,,,5.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,1.0,22.0
2022,4,11530510,신도림동,168,5.0,4.0,,,12.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,3.0,43.0
2022,4,11530520,구로1동,88,4.0,1.0,,,5.0,3.0,1.0,1.0,1.0,,,4.0,,,,,,,25.0
2022,4,11530530,구로2동,197,6.0,12.0,1.0,1.0,21.0,1.0,1.0,,1.0,,,7.0,,16.0,,,,1.0,48.0
2022,4,11530540,구로3동,187,7.0,18.0,,,15.0,1.0,2.0,1.0,,,,,,5.0,,,,2.0,47.0
2022,4,11530550,구로4동,139,5.0,3.0,,,15.0,2.0,1.0,1.0,,,,1.0,,19.0,,,,,13.0
2022,4,11530560,구로5동,167,5.0,4.0,,2.0,18.0,,3.0,1.0,1.0,2.0,1.0,,3.0,,,,,1.0,49.0
2022,4,11530595,가리봉동,74,,,,,6.0,,1.0,,1.0,,,,,23.0,,,,,8.0
2022,4,11530720,고척1동,135,5.0,4.0,1.0,1.0,9.0,,3.0,1.0,1.0,12.0,,8.0,,4.0,,,,,31.0
2022,4,11530730,고척2동,128,5.0,2.0,,1.0,11.0,,2.0,1.0,1.0,,,,,,,,,,40.0
2022,4,11530740,개봉1동,163,5.0,3.0,,1.0,11.0,2.0,1.0,2.0,,4.0,,1.0,,,,,,1.0,57.0
2022,4,11530750,개봉2동,116,3.0,3.0,,,10.0,2.0,,,,,,1.0,1.0,,,,,,26.0
2022,4,11530760,개봉3동,81,3.0,2.0,,,9.0,1.0,3.0,1.0,,,,1.0,1.0,,,,,,23.0
2022,4,11530770,오류1동,122,5.0,4.0,,,11.0,3.0,1.0,,,,,,,,,,,1.0,22.0
2022,4,11530780,오류2동,209,3.0,1.0,,1.0,9.0,6.0,3.0,2.0,1.0,,,,,,,,,1.0,86.0
2022,4,11530790,수궁동,154,3.0,1.0,,,5.0,2.0,1.0,1.0,6.0,,,1.0,,,,,,3.0,69.0
2022,4,11530800,항동,64,1.0,,,,2.0,1.0,1.0,,,10.0,,,,,,,,,37.0
2022,4,11545510,가산동,304,10.0,25.0,,1.0,21.0,2.0,,,,,,,1.0,17.0,,,,3.0,111.0
2022,4,11545610,독산1동,217,3.0,6.0,,2.0,17.0,2.0,4.0,3.0,,,,,1.0,3.0,,,,,74.0
2022,4,11545620,독산2동,73,2.0,1.0,,,8.0,,2.0,,,1.0,,,,,,,,,11.0
2022,4,11545630,독산3동,119,4.0,4.0,,,14.0,2.0,2.0,2.0,1.0,,,1.0,,,,,,,29.0
2022,4,11545640,독산4동,64,5.0,2.0,,1.0,4.0,,1.0,,,,,,,,,,,,16.0
2022,4,11545670,시흥1동,223,9.0,7.0,1.0,2.0,25.0,2.0,3.0,1.0,1.0,,,,,3.0,,,,1.0,52.0
2022,4,11545680,시흥2동,76,2.0,,,,3.0,2.0,3.0,1.0,2.0,,,,,,,,,,30.0
2022,4,11545690,시흥3동,66,3.0,3.0,,,5.0,,1.0,1.0,1.0,,,,,1.0,,,,,21.0
2022,4,11545700,시흥4동,72,1.0,1.0,,,6.0,,1.0,1.0,,,,,,,,,,,27.0
2022,4,11545710,시흥5동,106,3.0,,,,16.0,2.0,3.0,,,,,,,,,,,,37.0
2022,4,11560515,영등포본동,94,4.0,,,,10.0,2.0,2.0,1.0,2.0,,,,1.0,2.0,,,,1.0,23.0
2022,4,11560535,영등포동,325,10.0,17.0,2.0,2.0,37.0,,1.0,,,1.0,,,1.0,16.0,,,,1.0,41.0
2022,4,11560540,여의동,399,23.0,70.0,1.0,,44.0,,2.0,2.0,2.0,,,,1.0,,,,,5.0,61.0
2022,4,11560550,당산1동,131,6.0,5.0,,1.0,8.0,1.0,,,,,,,,12.0,,,,2.0,23.0
2022,4,11560560,당산2동,192,6.0,4.0,,,20.0,3.0,2.0,2.0,,,,,,,,,,2.0,46.0
2022,4,11560585,도림동,66,2.0,,,,6.0,2.0,,,,,,,,,,,,,28.0
2022,4,11560605,문래동,185,8.0,9.0,,,17.0,,3.0,2.0,,,,,,2.0,,,,1.0,56.0
2022,4,11560610,양평1동,87,5.0,3.0,,1.0,6.0,,1.0,,1.0,,,,,1.0,,,,1.0,22.0
2022,4,11560620,양평2동,131,8.0,6.0,,,7.0,1.0,2.0,1.0,2.0,,,,,3.0,,,,1.0,35.0
2022,4,11560630,신길1동,85,1.0,2.0,1.0,1.0,13.0,,1.0,,,,,,,4.0,,,,2.0,25.0
2022,4,11560650,신길3동,102,3.0,5.0,,1.0,12.0,3.0,1.0,,,,,,,2.0,,,,,32.0
2022,4,11560660,신길4동,43,1.0,1.0,,,2.0,2.0,1.0,,,,,,,,,,,,13.0
2022,4,11560670,신길5동,66,3.0,,,,,1.0,1.0,1.0,1.0,,,,,5.0,,,,,31.0
2022,4,11560680,신길6동,123,4.0,1.0,,1.0,14.0,1.0,1.0,,1.0,,,1.0,,2.0,,,,1.0,29.0
2022,4,11560690,신길7동,78,5.0,1.0,,,7.0,1.0,1.0,,,,,,,1.0,,,,1.0,32.0
2022,4,11560700,대림1동,81,2.0,4.0,2.0,,18.0,,1.0,1.0,,,,2.0,,3.0,,,,,16.0
2022,4,11560710,대림2동,86,4.0,2.0,1.0,,16.0,,2.0,,,1.0,,,,1.0,,,,,13.0
2022,4,11560720,대림3동,126,2.0,7.0,,1.0,11.0,3.0,2.0,1.0,,2.0,,1.0,,,,,,2.0,46.0
2022,4,11590510,노량진1동,180,5.0,4.0,,,14.0,2.0,3.0,1.0,,1.0,,,,2.0,,,,3.0,57.0
2022,4,11590520,노량진2동,72,5.0,4.0,,1.0,14.0,1.0,,,,,,,,1.0,,,,,14.0
2022,4,11590530,상도1동,201,5.0,4.0,,1.0,16.0,2.0,2.0,1.0,,23.0,,,,,,,,2.0,47.0
2022,4,11590540,상도2동,154,6.0,3.0,,,16.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,41.0
2022,4,11590550,상도3동,113,2.0,2.0,,,11.0,,,1.0,,,,1.0,,,,,,,36.0
2022,4,11590560,상도4동,112,3.0,1.0,,1.0,11.0,4.0,1.0,1.0,,,,,1.0,,,,,,36.0
2022,4,11590605,흑석동,195,6.0,6.0,1.0,,24.0,5.0,3.0,2.0,,16.0,,,,1.0,,,,1.0,50.0
2022,4,11590620,사당1동,126,4.0,6.0,,2.0,12.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,2.0,13.0
2022,4,11590630,사당2동,179,3.0,2.0,,,14.0,,1.0,1.0,2.0,,,,,2.0,,,,4.0,36.0
2022,4,11590640,사당3동,88,3.0,1.0,,,5.0,,2.0,1.0,,3.0,,1.0,,,,,,1.0,30.0
2022,4,11590650,사당4동,62,2.0,1.0,,,6.0,,,1.0,,,,1.0,,,,,,,4.0
2022,4,11590651,사당5동,61,4.0,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,28.0
2022,4,11590660,대방동,199,5.0,5.0,,,16.0,3.0,3.0,4.0,4.0,,,,,,,,,2.0,61.0
2022,4,11590670,신대방1동,83,3.0,1.0,,,10.0,3.0,1.0,1.0,,1.0,,,,,,,,1.0,15.0
2022,4,11590680,신대방2동,109,7.0,7.0,1.0,,16.0,,1.0,1.0,1.0,,,,,,,,,,29.0
2022,4,11620525,보라매동,83,1.0,1.0,,,5.0,,1.0,1.0,1.0,,,,,,,,,,25.0
2022,4,11620545,청림동,50,2.0,,,,4.0,2.0,,,,,,,,2.0,,,,,7.0
2022,4,11620565,성현동,104,4.0,,,,6.0,3.0,2.0,1.0,1.0,,,,,,,,,,38.0
2022,4,11620575,행운동,111,3.0,3.0,1.0,2.0,12.0,1.0,2.0,2.0,1.0,,,,,,,,,,15.0
2022,4,11620585,낙성대동,148,2.0,3.0,,,10.0,,1.0,,,37.0,,,,2.0,,,,,37.0
2022,4,11620595,청룡동,147,5.0,6.0,,1.0,23.0,,2.0,2.0,3.0,,,1.0,1.0,1.0,,,,1.0,15.0
2022,4,11620605,은천동,123,6.0,,,,9.0,3.0,1.0,,1.0,,,,,,,,,,43.0
2022,4,11620615,중앙동,83,1.0,3.0,,1.0,14.0,,1.0,,,,,,,,,,,1.0,12.0
2022,4,11620625,인헌동,105,2.0,5.0,,,14.0,1.0,,1.0,1.0,,,2.0,,,,,,1.0,23.0
2022,4,11620630,남현동,70,3.0,1.0,,,6.0,1.0,1.0,,,1.0,,,,,,,,,6.0
2022,4,11620645,서원동,94,3.0,1.0,1.0,1.0,9.0,,,1.0,,,,,1.0,,,,,,27.0
2022,4,11620655,신원동,54,6.0,1.0,,,7.0,,1.0,,,1.0,,,,,,,,,10.0
2022,4,11620665,서림동,74,2.0,,,,5.0,1.0,1.0,1.0,,,,,,,,,,,34.0
2022,4,11620685,신사동,79,3.0,2.0,,1.0,10.0,1.0,1.0,,,1.0,,1.0,,,,,,,21.0
2022,4,11620695,신림동,168,2.0,3.0,,,17.0,,,,,,,,,4.0,,,,1.0,16.0
2022,4,11620715,난향동,68,1.0,,,,5.0,,1.0,,,,,,,,,,,,34.0
2022,4,11620725,조원동,96,3.0,1.0,,1.0,12.0,,1.0,,,,,1.0,,,,,,,30.0
2022,4,11620735,대학동,283,5.0,6.0,,,11.0,,1.0,1.0,2.0,140.0,,,,,,,,,73.0
2022,4,11620745,삼성동,94,3.0,,,,7.0,,2.0,,1.0,,,,,3.0,,,,,44.0
2022,4,11620765,미성동,126,3.0,3.0,,1.0,11.0,1.0,2.0,2.0,2.0,,,,,1.0,,,,,44.0
2022,4,11620775,난곡동,95,2.0,1.0,,,11.0,2.0,1.0,2.0,1.0,,,1.0,,,,,,,28.0
2022,4,11650510,서초1동,194,4.0,10.0,,1.0,14.0,,2.0,,,13.0,,,,,,,,2.0,38.0
2022,4,11650520,서초2동,217,8.0,26.0,,,24.0,,1.0,1.0,1.0,,,,,1.0,,,,2.0,47.0
2022,4,11650530,서초3동,332,25.0,30.0,,3.0,30.0,1.0,1.0,1.0,3.0,2.0,,,,,,,1.0,2.0,77.0
2022,4,11650531,서초4동,257,2.0,13.0,,1.0,31.0,2.0,2.0,1.0,,,,,1.0,,,,,,36.0
2022,4,11650540,잠원동,135,3.0,8.0,,,13.0,1.0,1.0,1.0,,,,,,,,,,2.0,23.0
2022,4,11650550,반포본동,33,1.0,3.0,,,2.0,,1.0,2.0,2.0,,,1.0,,,,,,1.0,5.0
2022,4,11650560,반포1동,140,6.0,6.0,,1.0,20.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,26.0
2022,4,11650570,반포2동,74,4.0,5.0,,,5.0,,2.0,1.0,,,,1.0,,,,,,1.0,25.0
2022,4,11650580,반포3동,109,3.0,7.0,,,11.0,,1.0,1.0,,,,,,,,,,,18.0
2022,4,11650581,반포4동,130,7.0,12.0,1.0,,12.0,,,1.0,,3.0,,,1.0,,,,,3.0,33.0
2022,4,11650590,방배본동,103,2.0,6.0,,,16.0,,1.0,,,,,1.0,,,,,,,25.0
2022,4,11650600,방배1동,102,3.0,4.0,,1.0,10.0,,1.0,,,3.0,,1.0,,,,,,1.0,19.0
2022,4,11650610,방배2동,114,4.0,2.0,,,3.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,37.0
2022,4,11650620,방배3동,112,4.0,3.0,,2.0,6.0,,2.0,,1.0,7.0,,,,,,,,,50.0
2022,4,11650621,방배4동,156,3.0,10.0,,,11.0,,1.0,,1.0,4.0,,,,1.0,,,,1.0,31.0
2022,4,11650651,양재1동,263,12.0,11.0,,1.0,20.0,3.0,4.0,1.0,,1.0,,,,,,,,2.0,86.0
2022,4,11650652,양재2동,147,2.0,16.0,,,11.0,,1.0,2.0,1.0,,,1.0,,,,,,1.0,57.0
2022,4,11650660,내곡동,161,5.0,1.0,,1.0,2.0,2.0,1.0,,,3.0,,1.0,,,,,,1.0,85.0
2022,4,11680510,신사동,260,3.0,14.0,,,36.0,2.0,1.0,1.0,2.0,,1.0,,1.0,,,,,1.0,12.0
2022,4,11680521,논현1동,300,4.0,15.0,,4.0,42.0,,1.0,,,,,1.0,8.0,,,,,3.0,23.0
2022,4,11680531,논현2동,240,8.0,16.0,,5.0,29.0,1.0,1.0,1.0,,4.0,,,2.0,,,,,1.0,33.0
2022,4,11680545,압구정동,313,4.0,25.0,,5.0,30.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,,,,,2.0,18.0
2022,4,11680565,청담동,288,11.0,19.0,,4.0,27.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,3.0,23.0
2022,4,11680580,삼성1동,199,6.0,26.0,,3.0,13.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,3.0,38.0
2022,4,11680590,삼성2동,177,10.0,11.0,,,11.0,,1.0,1.0,,1.0,,,,,,,,4.0,28.0
2022,4,11680600,대치1동,130,4.0,11.0,,,13.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,24.0
2022,4,11680610,대치2동,210,6.0,26.0,,2.0,20.0,,2.0,1.0,1.0,,,,,,,,,2.0,39.0
2022,4,11680630,대치4동,159,4.0,12.0,1.0,1.0,18.0,,1.0,,,1.0,1.0,,,,,,,,14.0
2022,4,11680640,역삼1동,542,15.0,49.0,1.0,3.0,64.0,1.0,1.0,,,,,,3.0,1.0,,,,1.0,44.0
2022,4,11680650,역삼2동,195,3.0,14.0,,2.0,25.0,,1.0,2.0,1.0,1.0,,,,,,,,,31.0
2022,4,11680655,도곡1동,142,4.0,9.0,1.0,4.0,20.0,2.0,1.0,2.0,1.0,,,,,,,,,1.0,27.0
2022,4,11680656,도곡2동,118,7.0,23.0,,,10.0,2.0,1.0,1.0,2.0,,,,,,,,,3.0,25.0
2022,4,11680660,개포1동,38,1.0,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,29.0
2022,4,11680670,개포2동,135,3.0,3.0,,,9.0,5.0,4.0,1.0,3.0,,,,,,,,,3.0,50.0
2022,4,11680690,개포4동,115,3.0,4.0,,,7.0,,2.0,1.0,1.0,,,,,,,,,,49.0
2022,4,11680700,세곡동,191,4.0,1.0,,,9.0,3.0,4.0,1.0,1.0,,,,,,,,,,95.0
2022,4,11680720,일원본동,103,2.0,6.0,1.0,,15.0,2.0,2.0,1.0,2.0,,,,,,,,,1.0,32.0
2022,4,11680730,일원1동,74,4.0,1.0,,,11.0,1.0,2.0,,1.0,,,,,,,,,,18.0
2022,4,11680740,일원2동,66,3.0,3.0,,,6.0,2.0,1.0,1.0,,,,,,,,,,1.0,13.0
2022,4,11680750,수서동,89,3.0,3.0,,,11.0,2.0,1.0,1.0,2.0,,,,,,,,,2.0,23.0
2022,4,11710510,풍납1동,48,3.0,,,1.0,6.0,1.0,1.0,,,,,,,,,,,,6.0
2022,4,11710520,풍납2동,125,5.0,5.0,1.0,,26.0,2.0,2.0,3.0,1.0,3.0,,,,,,,,1.0,24.0
2022,4,11710531,거여1동,48,2.0,,,,2.0,,1.0,,1.0,,,,,1.0,,,,1.0,6.0
2022,4,11710532,거여2동,78,3.0,3.0,,1.0,12.0,1.0,1.0,1.0,,,,,,,,,,,11.0
2022,4,11710540,마천1동,73,4.0,1.0,,,8.0,1.0,1.0,,,,,,,1.0,,,,1.0,15.0
2022,4,11710550,마천2동,93,3.0,2.0,,,14.0,,1.0,,,,,,,,,,,,12.0
2022,4,11710561,방이1동,73,2.0,1.0,,,10.0,2.0,2.0,1.0,1.0,,,,,,,,,1.0,11.0
2022,4,11710562,방이2동,164,3.0,5.0,,,18.0,,1.0,1.0,,,,,,,,,,1.0,13.0
2022,4,11710566,오륜동,74,4.0,6.0,,,6.0,1.0,2.0,2.0,3.0,11.0,,,,,,,,3.0,15.0
2022,4,11710570,오금동,134,5.0,5.0,,,13.0,3.0,3.0,4.0,2.0,,,,,,,,,3.0,27.0
2022,4,11710580,송파1동,102,2.0,4.0,,3.0,14.0,1.0,1.0,,,,,,,,,,,2.0,13.0
2022,4,11710590,송파2동,79,3.0,1.0,,,11.0,3.0,1.0,2.0,3.0,,,,,,,,,,7.0
2022,4,11710600,석촌동,159,3.0,7.0,,2.0,27.0,3.0,2.0,,,,,,,,,,,,20.0
2022,4,11710610,삼전동,118,4.0,2.0,,,14.0,3.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,12.0
2022,4,11710620,가락본동,144,5.0,9.0,1.0,5.0,21.0,1.0,2.0,2.0,,,,,,,,,,,21.0
2022,4,11710631,가락1동,82,2.0,8.0,,,13.0,1.0,1.0,1.0,,,,1.0,,,,,,3.0,16.0
2022,4,11710632,가락2동,143,3.0,6.0,,,17.0,4.0,2.0,1.0,,,,,,,,,,1.0,22.0
2022,4,11710641,문정1동,70,3.0,1.0,,,5.0,1.0,1.0,1.0,,,,,,,,,,,19.0
2022,4,11710642,문정2동,149,10.0,12.0,,1.0,22.0,,1.0,,,,,,2.0,,,,,3.0,14.0
2022,4,11710646,장지동,136,4.0,3.0,,,10.0,1.0,2.0,1.0,3.0,,,,1.0,,,,,1.0,41.0
2022,4,11710647,위례동,84,3.0,1.0,,,5.0,2.0,2.0,1.0,,,,,,,,,,,32.0
2022,4,11710650,잠실본동,192,5.0,9.0,,1.0,24.0,,1.0,,,,,,,,,,,1.0,12.0
2022,4,11710670,잠실2동,91,4.0,6.0,,,14.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,5.0
2022,4,11710680,잠실3동,103,5.0,9.0,,,11.0,1.0,3.0,,1.0,,,,,,,,,,16.0
2022,4,11710690,잠실4동,74,3.0,3.0,,,10.0,1.0,2.0,,1.0,,,,,,,,,2.0,7.0
2022,4,11710710,잠실6동,144,4.0,17.0,,1.0,23.0,,1.0,1.0,,,,,1.0,,,,,2.0,13.0
2022,4,11710720,잠실7동,30,2.0,4.0,,,4.0,,1.0,2.0,1.0,,,,,,,,,2.0,3.0
2022,4,11740515,강일동,187,5.0,3.0,,,12.0,2.0,2.0,2.0,1.0,,,,,,,,,3.0,79.0
2022,4,11740520,상일동,105,4.0,2.0,1.0,,8.0,4.0,2.0,2.0,5.0,,,,,,,,,,37.0
2022,4,11740530,명일1동,151,5.0,6.0,,2.0,17.0,,1.0,,,,,,,,,,,1.0,22.0
2022,4,11740540,명일2동,107,3.0,6.0,,,18.0,4.0,2.0,,1.0,,,,,,,,,,18.0
2022,4,11740550,고덕1동,92,3.0,,,,4.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,26.0
2022,4,11740560,고덕2동,78,3.0,1.0,,,9.0,1.0,2.0,1.0,2.0,,,,,,,,,1.0,25.0
2022,4,11740570,암사1동,90,2.0,1.0,,,8.0,1.0,1.0,,,1.0,,1.0,,,,,,,13.0
2022,4,11740580,암사2동,61,1.0,3.0,,,6.0,1.0,2.0,,,,,,,,,,,1.0,6.0
2022,4,11740590,암사3동,50,2.0,1.0,,,5.0,1.0,,2.0,1.0,,,,,,,,,,12.0
2022,4,11740600,천호1동,92,4.0,1.0,,,11.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,11.0
2022,4,11740610,천호2동,203,4.0,3.0,,1.0,26.0,1.0,1.0,1.0,,,,,,3.0,,,,,22.0
2022,4,11740620,천호3동,115,4.0,3.0,,2.0,14.0,,,1.0,,,,,,1.0,,,,,11.0
2022,4,11740640,성내1동,98,6.0,4.0,,2.0,9.0,1.0,2.0,1.0,,1.0,,,1.0,,,,,,20.0
2022,4,11740650,성내2동,113,2.0,3.0,,4.0,14.0,,,,,,,,1.0,,,,,3.0,16.0
2022,4,11740660,성내3동,136,4.0,5.0,,,13.0,2.0,,,,2.0,,,,,,,,1.0,13.0
2022,4,11740685,길동,242,6.0,10.0,1.0,4.0,34.0,4.0,3.0,1.0,,1.0,,,,,,,,1.0,36.0
2022,4,11740690,둔촌1동,14,,,,,,,2.0,,1.0,,,,,,,,,1.0,6.0
2022,4,11740700,둔촌2동,129,5.0,4.0,1.0,,17.0,2.0,1.0,2.0,1.0,,,,,,,,,1.0,32.0
2023,1,11110515,청운효자동,93,6.0,3.0,,,4.0,1.0,1.0,2.0,2.0,8.0,,,,,,,,,26.0
2023,1,11110530,사직동,206,18.0,24.0,,,15.0,,1.0,,1.0,1.0,,,3.0,,,,,2.0,34.0
2023,1,11110540,삼청동,49,10.0,4.0,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,16.0
2023,1,11110550,부암동,84,4.0,2.0,,,1.0,1.0,2.0,1.0,1.0,14.0,,,,,,,,,38.0
2023,1,11110560,평창동,162,6.0,2.0,,1.0,5.0,1.0,,,1.0,2.0,,,,,,,,,91.0
2023,1,11110570,무악동,42,2.0,1.0,1.0,,4.0,1.0,1.0,,,,,,,,,,,1.0,7.0
2023,1,11110580,교남동,78,4.0,3.0,2.0,,17.0,,,,1.0,1.0,,,,,,,,,26.0
2023,1,11110600,가회동,63,5.0,3.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,22.0
2023,1,11110615,종로1?2?3?4가동,500,19.0,35.0,,,47.0,1.0,2.0,,,4.0,,1.0,5.0,17.0,,,,5.0,72.0
2023,1,11110630,종로5?6가동,212,7.0,8.0,,,31.0,,1.0,,,1.0,,4.0,,3.0,,,,1.0,23.0
2023,1,11110640,이화동,119,4.0,4.0,1.0,,11.0,,,2.0,,37.0,,,,,,,,1.0,28.0
2023,1,11110650,혜화동,145,6.0,5.0,,,16.0,3.0,1.0,1.0,4.0,26.0,,,1.0,,,,,,36.0
2023,1,11110670,창신1동,111,3.0,4.0,,,9.0,,2.0,,,,,1.0,,7.0,,,,2.0,11.0
2023,1,11110680,창신2동,38,2.0,1.0,,,5.0,,,,,,,,,,,,,,
2023,1,11110690,창신3동,24,3.0,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,5.0
2023,1,11110700,숭인1동,43,3.0,1.0,,,3.0,1.0,,,,,,,,,,,,,14.0
2023,1,11110710,숭인2동,89,4.0,3.0,,1.0,4.0,,,,,,,2.0,,3.0,,,,2.0,6.0
2023,1,11140520,소공동,231,13.0,29.0,,,10.0,,1.0,4.0,3.0,,1.0,,3.0,3.0,,,,3.0,37.0
2023,1,11140540,회현동,211,9.0,17.0,,,16.0,1.0,,,,2.0,,2.0,1.0,2.0,,,,6.0,35.0
2023,1,11140550,명동,542,20.0,46.0,,,35.0,,1.0,,,4.0,,,3.0,12.0,,,,1.0,29.0
2023,1,11140570,필동,123,6.0,9.0,1.0,,7.0,,2.0,,1.0,19.0,,,2.0,1.0,,,,2.0,15.0
2023,1,11140580,장충동,63,6.0,2.0,,,1.0,,1.0,,,3.0,,,1.0,2.0,,,,1.0,13.0
2023,1,11140590,광희동,185,3.0,16.0,1.0,,14.0,,,1.0,,,,1.0,3.0,11.0,,,,3.0,19.0
2023,1,11140605,을지로동,145,5.0,10.0,,,13.0,,,,,,,1.0,2.0,3.0,,,,4.0,20.0
2023,1,11140615,신당동,99,7.0,5.0,,1.0,12.0,,1.0,1.0,3.0,,,3.0,,1.0,,,,2.0,8.0
2023,1,11140625,다산동,86,3.0,4.0,,1.0,9.0,,1.0,1.0,1.0,,,,,1.0,,,,1.0,7.0
2023,1,11140635,약수동,87,4.0,2.0,,1.0,12.0,2.0,,,,,,,,,,,,2.0,12.0
2023,1,11140645,청구동,34,2.0,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,5.0
2023,1,11140650,신당5동,65,4.0,2.0,,,5.0,,1.0,,2.0,,,,,,,,,,12.0
2023,1,11140665,동화동,47,3.0,1.0,,,5.0,,1.0,1.0,,,,,,,,,,2.0,4.0
2023,1,11140670,황학동,76,1.0,6.0,,,10.0,,,,,,,,,7.0,,,,,6.0
2023,1,11140680,중림동,77,3.0,2.0,,,7.0,,1.0,,2.0,1.0,,,,5.0,,,,,14.0
2023,1,11170510,후암동,80,6.0,1.0,,,7.0,1.0,2.0,,1.0,,,2.0,,,,,,,18.0
2023,1,11170520,용산2가동,63,3.0,,,,4.0,,1.0,2.0,2.0,,,,,,,,,1.0,29.0
2023,1,11170530,남영동,147,7.0,5.0,,,14.0,,,1.0,,,,,,12.0,,,,3.0,26.0
2023,1,11170555,청파동,128,7.0,2.0,,1.0,11.0,,2.0,2.0,4.0,22.0,,1.0,,1.0,,,,,35.0
2023,1,11170560,원효로1동,94,6.0,3.0,,,6.0,1.0,1.0,,,3.0,,4.0,,,,,,,31.0
2023,1,11170570,원효로2동,69,4.0,2.0,,,4.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,,27.0
2023,1,11170580,효창동,66,1.0,1.0,,,5.0,,1.0,,1.0,1.0,,,,,,,,2.0,22.0
2023,1,11170590,용문동,54,1.0,,,,3.0,,,,,,,,,,,,,,22.0
2023,1,11170625,한강로동,242,19.0,19.0,,,21.0,,2.0,,1.0,,,5.0,3.0,2.0,,,,7.0,41.0
